"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","category"
"","","","","","html-keyboard-response","952","364840","0.0-3.0-3.233","","701","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNM"
"","","","","","image-keyboard-response","953","365043","0.0-3.0-0.234","","null","img_mproj/jap/7.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","954","365344","0.0-3.0-1.234","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","955","365547","0.0-3.0-2.234","","null","img_mproj/Mjap/7.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","956","366966","0.0-3.0-3.234","","1418","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMJ"
"","","","","","image-keyboard-response","957","367169","0.0-3.0-0.235","","null","img_mproj/french/4.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","958","367471","0.0-3.0-1.235","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","959","367673","0.0-3.0-2.235","","null","img_mproj/Mfrench/4.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","960","368601","0.0-3.0-3.235","","927","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMF"
"","","","","","image-keyboard-response","961","368804","0.0-3.0-0.236","","null","img_mproj/Mtools/2.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","962","369106","0.0-3.0-1.236","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","963","369309","0.0-3.0-2.236","","null","img_mproj/Mtools/14.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","964","370585","0.0-3.0-3.236","","1275","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMT"
"","","","","","image-keyboard-response","965","370788","0.0-3.0-0.237","","null","img_mproj/faces/5.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","966","371089","0.0-3.0-1.237","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","967","371291","0.0-3.0-2.237","","null","img_mproj/faces/5.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","968","371791","0.0-3.0-3.237","","500","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNM"
"","","","","","image-keyboard-response","969","371993","0.0-3.0-0.238","","null","img_mproj/Mtools/8.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","970","372294","0.0-3.0-1.238","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","971","372496","0.0-3.0-2.238","","null","img_mproj/Mtools/2.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","972","372972","0.0-3.0-3.238","","476","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMT"
