"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","correct_response","category"
"","","","","","html-keyboard-response","632","470286","0.0-3.0-3.153","","2769","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMM"
"","","","","","image-keyboard-response","633","470501","0.0-3.0-0.154","","null","img_mproj/jap/3.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","634","470812","0.0-3.0-1.154","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","635","471018","0.0-3.0-2.154","","null","img_mproj/Mjap/3.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","636","471931","0.0-3.0-3.154","","913","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMJ"
"","","","","","image-keyboard-response","637","472141","0.0-3.0-0.155","","null","img_mproj/Mjap/10.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","638","472452","0.0-3.0-1.155","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","639","472664","0.0-3.0-2.155","","null","img_mproj/Mjap/6.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","640","472882","0.0-3.0-3.155","","217","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMJ"
"","","","","","image-keyboard-response","641","473086","0.0-3.0-0.156","","null","img_mproj/tools/9.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","642","473389","0.0-3.0-1.156","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","643","473593","0.0-3.0-2.156","","null","img_mproj/Mtools/9.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","644","474035","0.0-3.0-3.156","","441","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMT"
"","","","","","image-keyboard-response","645","474247","0.0-3.0-0.157","","null","img_mproj/false/1.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","646","474558","0.0-3.0-1.157","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","647","474760","0.0-3.0-2.157","","null","img_mproj/false/13.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","648","475573","0.0-3.0-3.157","","812","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNP"
"","","","","","image-keyboard-response","649","475787","0.0-3.0-0.158","","null","img_mproj/french/3.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","650","476094","0.0-3.0-1.158","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","651","476298","0.0-3.0-2.158","","null","img_mproj/french/11.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","652","476900","0.0-3.0-3.158","","602","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNF"
"","","","","","image-keyboard-response","653","477112","0.0-3.0-0.159","","null","img_mproj/tools/5.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","654","477425","0.0-3.0-1.159","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","655","477627","0.0-3.0-2.159","","null","img_mproj/tools/5.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","656","478008","0.0-3.0-3.159","","380","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNT"
"","","","","","image-keyboard-response","657","478219","0.0-3.0-0.160","","null","img_mproj/tools/11.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","658","478530","0.0-3.0-1.160","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","659","478738","0.0-3.0-2.160","","null","img_mproj/tools/11.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","660","479092","0.0-3.0-3.160","","353","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNT"
"","","","","","image-keyboard-response","661","479303","0.0-3.0-0.161","","null","img_mproj/Mfalse/9.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","662","479614","0.0-3.0-1.161","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","663","479817","0.0-3.0-2.161","","null","img_mproj/Mfalse/4.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","664","480299","0.0-3.0-3.161","","482","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMP"
"","","","","","image-keyboard-response","665","480501","0.0-3.0-0.162","","null","img_mproj/faces/9.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","666","480814","0.0-3.0-1.162","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","667","481015","0.0-3.0-2.162","","null","img_mproj/faces/9.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","668","481601","0.0-3.0-3.162","","585","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNM"
"","","","","","image-keyboard-response","669","481811","0.0-3.0-0.163","","null","img_mproj/Mfaces/9.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","670","482122","0.0-3.0-1.163","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","671","482330","0.0-3.0-2.163","","null","img_mproj/Mfaces/4.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","672","483451","0.0-3.0-3.163","","1121","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMM"
"","","","","","image-keyboard-response","673","483655","0.0-3.0-0.164","","null","img_mproj/Mfrench/9.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","674","483962","0.0-3.0-1.164","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","675","484167","0.0-3.0-2.164","","null","img_mproj/Mfrench/4.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","676","484542","0.0-3.0-3.164","","374","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMF"
"","","","","","image-keyboard-response","677","484745","0.0-3.0-0.165","","null","img_mproj/french/7.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","678","485059","0.0-3.0-1.165","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","679","485267","0.0-3.0-2.165","","null","img_mproj/french/7.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","680","485830","0.0-3.0-3.165","","562","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNF"
"","","","","","image-keyboard-response","681","486044","0.0-3.0-0.166","","null","img_mproj/french/10.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","682","486358","0.0-3.0-1.166","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","683","486566","0.0-3.0-2.166","","null","img_mproj/french/10.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","684","486919","0.0-3.0-3.166","","353","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNF"
"","","","","","image-keyboard-response","685","487123","0.0-3.0-0.167","","null","img_mproj/false/10.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","686","487435","0.0-3.0-1.167","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","687","487639","0.0-3.0-2.167","","null","img_mproj/Mfalse/10.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","688","487977","0.0-3.0-3.167","","337","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","s","SMP"
"","","","","","image-keyboard-response","689","488190","0.0-3.0-0.168","","null","img_mproj/french/9.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","690","488503","0.0-3.0-1.168","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","691","488712","0.0-3.0-2.168","","null","img_mproj/Mfrench/9.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","692","489049","0.0-3.0-3.168","","337","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMF"
"","","","","","image-keyboard-response","693","489258","0.0-3.0-0.169","","null","img_mproj/faces/6.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","694","489563","0.0-3.0-1.169","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","695","489767","0.0-3.0-2.169","","null","img_mproj/Mfaces/6.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","696","490173","0.0-3.0-3.169","","406","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMM"
"","","","","","image-keyboard-response","697","490381","0.0-3.0-0.170","","null","img_mproj/Mfrench/5.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","698","490693","0.0-3.0-1.170","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","699","490908","0.0-3.0-2.170","","null","img_mproj/Mfrench/1.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","700","491240","0.0-3.0-3.170","","331","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMF"
"","","","","","image-keyboard-response","701","491452","0.0-3.0-0.171","","null","img_mproj/jap/7.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","702","491763","0.0-3.0-1.171","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","703","491970","0.0-3.0-2.171","","null","img_mproj/jap/6.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","704","492434","0.0-3.0-3.171","","463","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNJ"
"","","","","","image-keyboard-response","705","492638","0.0-3.0-0.172","","null","img_mproj/french/13.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","706","492949","0.0-3.0-1.172","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","707","493152","0.0-3.0-2.172","","null","img_mproj/french/13.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","708","493543","0.0-3.0-3.172","","391","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNF"
"","","","","","image-keyboard-response","709","493744","0.0-3.0-0.173","","null","img_mproj/jap/13.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","710","494055","0.0-3.0-1.173","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","711","494256","0.0-3.0-2.173","","null","img_mproj/jap/3.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","712","495271","0.0-3.0-3.173","","1015","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNJ"
"","","","","","image-keyboard-response","713","495482","0.0-3.0-0.174","","null","img_mproj/Mfaces/11.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","714","495794","0.0-3.0-1.174","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","715","495997","0.0-3.0-2.174","","null","img_mproj/Mfaces/12.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","716","496521","0.0-3.0-3.174","","524","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMM"
"","","","","","image-keyboard-response","717","496723","0.0-3.0-0.175","","null","img_mproj/faces/12.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","718","497030","0.0-3.0-1.175","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","719","497247","0.0-3.0-2.175","","null","img_mproj/faces/12.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","720","498059","0.0-3.0-3.175","","812","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNM"
"","","","","","image-keyboard-response","721","498272","0.0-3.0-0.176","","null","img_mproj/jap/9.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","722","498578","0.0-3.0-1.176","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","723","498793","0.0-3.0-2.176","","null","img_mproj/jap/4.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","724","499960","0.0-3.0-3.176","","1166","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNJ"
"","","","","","image-keyboard-response","725","500168","0.0-3.0-0.177","","null","img_mproj/tools/5.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","726","500482","0.0-3.0-1.177","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","727","500686","0.0-3.0-2.177","","null","img_mproj/Mtools/5.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","728","500948","0.0-3.0-3.177","","262","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SMT"
"","","","","","image-keyboard-response","729","501163","0.0-3.0-0.178","","null","img_mproj/Mfaces/10.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","730","501466","0.0-3.0-1.178","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","731","501670","0.0-3.0-2.178","","null","img_mproj/Mfaces/6.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","732","502370","0.0-3.0-3.178","","699","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DMM"
"","","","","","image-keyboard-response","733","502580","0.0-3.0-0.179","","null","img_mproj/faces/1.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","734","502896","0.0-3.0-1.179","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","735","503110","0.0-3.0-2.179","","null","img_mproj/faces/13.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","736","503424","0.0-3.0-3.179","","313","<p> Press S if the two images were the same, Press D if the two images were different. </p>","d","response","d","DNM"
"","","","","","image-keyboard-response","737","503638","0.0-3.0-0.180","","null","img_mproj/faces/2.jpg","null","actual_stimuli_presentation_1","",""
"","","","","","html-keyboard-response","738","503942","0.0-3.0-1.180","","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","739","504158","0.0-3.0-2.180","","null","img_mproj/faces/2.jpg","null","actual_stimuli_presentation_2","",""
"","","","","","html-keyboard-response","740","504629","0.0-3.0-3.180","","471","<p> Press S if the two images were the same, Press D if the two images were different. </p>","s","response","s","SNM"
"","","","","","image-keyboard-response","741","504840","0.0-3.0-0.181","","null","img_mproj/faces/7.jpg","null","actual_stimuli_presentation_1","",""
